其他,#genre#
Tawaf TV,https://yydsxll.serv00.net/Smartv.php?id=TawafTV
Vision Prime,https://yydsxll.serv00.net/Smartv.php?id=VisionPrime
Muslim TV,https://yydsxll.serv00.net/Smartv.php?id=MuslimTV
Music TV,https://yydsxll.serv00.net/Smartv.php?id=MusicTV
Lifestyle&Fashion,https://yydsxll.serv00.net/Smartv.php?id=Lifestyle
Entertain,https://yydsxll.serv00.net/Smartv.php?id=Entertain
Hits,https://yydsxll.serv00.net/Smartv.php?id=Hits
Warner TV,https://yydsxll.serv00.net/Smartv.php?id=WarnerTV
SCM,https://yydsxll.serv00.net/Smartv.php?id=Weishimovie
Thrill,https://yydsxll.serv00.net/Smartv.php?id=Thrill
Fight Sports,https://yydsxll.serv00.net/Smartv.php?id=Fs
Beinsports 2 HD,https://yydsxll.serv00.net/Smartv.php?id=Bein2hd
Hits Movie,https://yydsxll.serv00.net/Smartv.php?id=Hitsmovie
One,https://yydsxll.serv00.net/Smartv.php?id=One_mega
tvN Movie,https://yydsxll.serv00.net/Smartv.php?id=Tvnmovie
Celestial Movies HD,https://yydsxll.serv00.net/Smartv.php?id=Celestialindo
Rock Actions,https://yydsxll.serv00.net/Smartv.php?id=Rockaction
Rock Entertainment,https://yydsxll.serv00.net/Smartv.php?id=Rockentertain
J2(備用),https://yydsxll.serv00.net/Smartv.php?id=j2_hkdavid
J2,https://yydsxll.serv00.net/Smartv.php?id=j2_twn
RHK 31,https://yydsxll.serv00.net/Smartv.php?id=rhk31_twn
RHK 32,https://yydsxll.serv00.net/Smartv.php?id=rhk32_twn
VIUTV1,https://yydsxll.serv00.net/Smartv.php?id=viu1_twn
Viu TV 69,https://yydsxll.serv00.net/Smartv.php?id=viutv69_hkdavid
Viu6,https://yydsxll.serv00.net/Smartv.php?id=viusix_twn
iNews 新聞台,https://yydsxll.serv00.net/Smartv.php?id=inews_twn
無線財經資訊台,https://yydsxll.serv00.net/Smartv.php?id=tvbcaijing_twn
珍珠台(備用),https://yydsxll.serv00.net/Smartv.php?id=pearl_hkdavid
珍珠台,https://yydsxll.serv00.net/Smartv.php?id=pearl_twn
鳳凰衛視,https://yydsxll.serv00.net/Smartv.php?id=phoenixtv_hd
鳳凰資訊,https://yydsxll.serv00.net/Smartv.php?id=phoenixinfo_hd
江蘇衛視,https://yydsxll.serv00.net/Smartv.php?id=jiangsu_twn
深圳衛視,https://yydsxll.serv00.net/Smartv.php?id=shenzhen
大灣區衛視,https://yydsxll.serv00.net/Smartv.php?id=nanfang_twn
